WGS84_latitude,WGS84_longitude,Database_number,temperature_in_c,rock_type,pH_gauss,redox_potential_in_mV_gauss,total_dissolved_solids_in_mmol/L_log_gauss,O2_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,NH4_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,Mn_in_mmol/L_log_gauss,F_in_umol/L_log_gauss,NO3_in_mmol/L_log_gauss,H2SiO3_in_umol/L_log_gauss,HS_in_mmol/L_gauss
46.14504,7.171639999999999,5,25.0,Gypsum,-0.23035256480696298,,-0.6674001463266616,,-0.8480746535481313,0.2672108756464473,0.20300939907638954,-0.7953216439546776,0.8552868016470969,-0.01881964145130391,-0.5106307929450439,-0.5298955996880801,,,,,0.2536062084064879,,,
46.6875,8.959,5,13.5,Andesite,0.17910168640611013,,-0.4618218095303973,,-2.256744827428804,0.4258580971383841,0.6932730237545407,-2.1567210797444236,1.4486323752870738,-0.8957798188835894,,-1.4146976723207718,,,,,0.1931431668132398,,,
46.20722,6.900930000000002,5,29.5,Limestone,-0.12578779918185587,,-0.5816914447825484,,-1.3468571188230112,0.4696030591824158,0.5250448584530717,-1.840281898141036,1.2982710982714525,-1.0124743363652702,-0.9319713123431904,-1.669112456535541,,,,,0.2536062084064879,,,
46.20722,6.900930000000002,5,23.1,Limestone,-0.4033555430561561,,-0.6914830296735239,,-1.3326818019606212,0.38787724838365395,0.4334819661117883,-1.727465567053314,1.074492918954298,-0.8589096039503576,-1.061884134877072,-1.5459273181166064,,,,,-0.058998939306142646,,,
46.07518,7.235580000000001,5,17.4,Rhyolite,0.5452441858688841,,-0.8777573628029776,,-1.55824945663857,0.3123760433228348,0.27700070092854806,-2.5479855888099268,0.9044390738339864,-1.077445511147958,-1.061884134877072,-1.2312798427797058,,,,,-0.8643650473631331,,,
46.622011,9.181379,5,24.9,Sand and Gravel,-0.006272884668573728,,-0.5520355006335397,,-1.6323544976214273,0.3449556982089147,0.5777391864308936,-2.283697046084296,1.1871571180517564,0.04894771798160344,-1.4678604169994043,-1.6541447865382133,,,,,,,,
48.008769,16.229269,5,30.9,Limestone,-0.12578779918185587,,-0.4852068976032579,,-0.7023154143045922,0.3808558599749134,0.39520352327432046,-0.408622440263197,0.9434246091553647,-0.2236581960460027,-0.802225683044881,-0.6425432443553143,,-0.4689756816401381,,,0.4120481571165741,,,
48.008769,16.229269,5,31.5,Limestone,-0.4033555430561561,,-0.06397509176074162,,-0.6849753039941815,0.4122569310845639,0.3979419470223253,-0.40276147152412717,0.9605576566495785,-0.26970398307736776,2.53315293401867,-0.5393014996704127,,-0.37897347567503137,,,,,,
48.008769,16.229269,5,24.8,Limestone,-0.8716792497377877,,-0.5662090308900734,,-0.7868959185962602,0.3361945536041842,0.34171080426147304,-0.45888613264969896,0.8881305696154539,-0.38545458611644023,,-0.6135094449805312,,-0.4689756816401381,,,,,,
48.008769,16.229269,5,29.0,Limestone,-0.3321980187039972,,-0.5090994117211657,,-0.7308581945890041,0.3804458992408583,0.37742165243707015,-0.42329698614293537,0.924996173337363,-0.2599631900114466,,-0.5760748876486937,,-0.4491099351613864,,,,,,
