location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Wetter (Hesse),Schoellerquelle,50.90211440707775,8.73797441492753,100,Conglomerate,Permian,12,,7.3,,,,2200.0,69.6,167.0,1569.1,2788.8,463.6,,41.05,,Traces,3.07,0,,3.72,,,6.0
Wetter (Hesse),Schoellerquelle,50.90211440707775,8.73797441492753,101.2,Conglomerate,Permian,10.9,7506.0,7.3,,,,1619.0,55.9,128.0,1075.0,2147,459.5,1.87,26.6,2.07,0.35,6.51,0.07,1.31,,10.6,,6.0
Wetter (Hesse)-Treisbach,Treisbach,50.91108599962288,8.631273238692478,145.5,"Slate, Graywacke, Dolerite",Carboniferous,9.5,,7.6,,,6.4,28.0,12.7,36.0,9.2,25,200.192,,,,,,,,,,,6.0
Wiesbaden,Augusta-Viktoria-Bad,50.08610515353006,8.243556320131828,0,Gneiss,Silurian ,50,,,,,,2619.0,47.21,339.0,4516.0,61.97,549.0,3.114,90.27,11.77,4.331,0.486,0.594,,Traces,77.61,,6.0
Wiesbaden,Dreililienquelle,50.08616927091448,8.243736982506034,0,Unconsolidated rocks,Quaternary,59.2,,6.5,,,,2660.0,49.9,356.6,4594.0,75.3,580.3,,110,,5.4,2.29,0.67,,0.2,75.8,,6.0
Wiesbaden,Faulbrunnen,50.08216752329943,8.236785212385652,7.5,"Gneiss, Phyllite",Silurian ,14,,,,,,1271.0,41.2,233.1,2298.0,71.22,317.3,,45.85,,3.384,0.941,,,,65.46,,6.0
Wiesbaden,Faulbrunnen,50.08216752329943,8.236785212385652,7.5,"Gneiss, Phyllite",Silurian ,17,,,,,,1514.0,29.6,254.5,2700.0,94.8,330.7,2.6,71.8,8.2,2.4,2.03,0.32,,0,77.5,,6.0
Wiesbaden,Faulbrunnen,50.08216752329943,8.236785212385652,28.5,Gneiss,Silurian ,17.4,7730.0,6.3,,,,1395.0,29.7,240.0,2485.0,98.6,348.0,4.4,62,12.5,1.9,0.9,0.22,0.63,,,,6.0
Wiesbaden,Faulbrunnen,50.08216752329943,8.236785212385652,28.5,Gneiss,Silurian ,17,,6.5,,,,1312.0,26.0,222.0,2288.0,88,343.0,,54,,,,,,,,,6.0
Wiesbaden,Faulbrunnen,50.08216752329943,8.236785212385652,28.5,Gneiss,Silurian ,17.6,8680.0,6.31,,,0.6,1450.0,31.0,253.0,2730.0,97.6,353.0,2.93,75,9.78,2.45,0.903,0.27,0.48,,87.36,,6.0
Wiesbaden,Gemeindebadquelle,50.08419112088335,8.23960380864574,1.9,"Gneiss, Phyllite",Silurian ,45.4,,,,,,2025.0,27.12,300.6,3598.0,106.8,279.0,4.36,81.83,8.554,4.965,0.995,0.403,,Traces,66.82,,6.0
Wiesbaden,Große Adlerquelle,50.08610744963889,8.241152632555096,115,Gneiss,Silurian ,64.4,,,,,,2693.0,47.7,357.3,4665.0,67.34,557.0,4.313,90.52,11.45,4.845,3.129,0.587,,Traces,80.83,,6.0
