location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Acqui Terme,44,44.6833333,8.5,,1,,37.9,,8.73,,,,501.0,0.23,78.7,767.0,171.0,26.0,0.92,8.82,,,,,7.6,,,,5.0,
Acqui Terme,46,44.6833333,8.5,,1,,32.0,,8.62,,,,142.0,0.14,7.3,80.5,78.1,127.0,0.23,1.9,,,,,12.0,,,,5.0,
Acqui Terme,47,44.6833333,8.5,,1,,23.0,,7.67,,,,561.0,4.22,133.0,928.0,196.0,101.0,1.1,12.4,,,,,4.7,,,,5.0,
Acqui Terme,50,44.3572222,8.445277778,,4,,14.5,,8.55,,,,113.0,16.0,10.0,11.0,25.1,363.0,0.1,3.2,,,,,,,,,5.0,
Acqui Terme,La Bolente,44.7,8.466666667,,6,,69.5,,8.16,,,,661.0,0.14,136.0,1120.0,220.0,28.0,1.3,14.0,,,,,5.8,,,,5.0,
Acqui Terme,44b,44.6833333,8.5,,1,,31.5,,8.65,,,,494.0,0.22,81.8,772.0,167.0,29.0,0.94,8.78,,,,,6.6,,,,5.0,
Lomaso,Terme di Comano,46.042222,10.886389,,6,,27.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Visone,Caldana,44.661944,8.654688900000002,,1,,22.5,,,,,,,,,,,,,,,,,,,,,,5.0,
Albettone,La Boia,45.368333,11.607467,,1,,24.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Arqua' Petrarca ,Casa Trieste,45.276667,11.742467,,1,,28.3,,,,,,,,,,,,,,,,,,,,,,5.0,
Arqua' Petrarca ,Lago di Arqua,45.268889,11.744411,,1,,43.1,,,,,,,,,,,,,,,,,,,,,,5.0,
Baone,Val Calaona,45.264444,11.645244,,1,,36.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Bagno Barbarano,45.4,11.556356,,1,,28.5,,,,,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Bettini,45.447222,11.556356,54.0,6,,26.5,,,,,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Franceschetto,45.402222,11.569967,,1,,25.2,,,,,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Monticello est,45.396944,11.596633,,1,,24.6,,,,,,,,,,,,,,,,,,,,,,5.0,
Caldiero,Terme di Giunone,45.408889,11.194967,,1,,26.9,,,,,,,,,,,,,,,,,,,,,,5.0,
Caldiero,Terme di Giunone (Pozzo),45.408889,11.194967,100.0,1,,26.4,,,,,,,,,,,,,,,,,,,,,,5.0,
Galzignano Terme,San Bartolomeo,45.307222,11.758889,,7,,49.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Monselice,La Cava,45.256944,11.748889,,1,,32.2,,,,,,,,,,,,,,,,,,,,,,5.0,
Mossano,Ponte Mossano,45.408889,11.586389,,1,,25.8,,,,,,,,,,,,,,,,,,,,,,5.0,
Villaga,Bagno di Villaga,45.396667,11.556944,,1,,28.8,,,,,,,,,,,,,,,,,,,,,,5.0,
St. Jean,,45.773644,7.827468,,8,,42.0,,6.7,,,,83.0,1.8,8.0,122.0,11.0,5.0,,1.6,,,,,,,,,5.0,
Acquarossa - Tessin,Albergo,46.45469,8.94303,,1,,24.9,22.75,6.7,,,,18.5,85.5,549.0,7.0,1300.0,621.0,,18.3,,,,,1.84,,,,5.0,
Acquarossa - Tessin,SatroC,46.45469,8.94303,,1,,24.5,24.15,6.5,,,,18.2,87.7,564.0,6.0,1250.0,641.0,,17.1,,,,,,,,,5.0,
Acquarossa - Tessin,SatroD,46.45469,8.94303,,1,,24.2,24.240000000000002,6.5,,,,18.5,88.2,654.0,3.5,1400.0,647.0,,17.8,,,,,,,,,5.0,
Andeer - Graubuenden,Andeer,46.6129,9.44491,,6,,18.0,20.3,7.0,,,,12.0,55.0,545.0,4.5,1430.0,162.0,,2.7,,,,,0.21,,,,5.0,
Bad-Ragaz - Sankt Gallen,Pfaefer,46.9693,9.48696,,5,,36.5,4.32,7.34,,,,30.0,15.0,60.8,38.0,27.0,223.0,0.31,2.7,,,,,1.2,,,,5.0,
Berguen - Graubuenden,,46.61848,9.65865,,6,,17.0,,,,,,5.0,67.0,314.0,5.0,915.0,143.0,,4.0,,,,,,,,,5.0,
Bovernier - Wallis,,46.08115,7.098660000000002,,9,,21.1,3.25,8.21,,,,33.5,1.4,42.0,20.0,75.0,91.0,0.15,2.1,,,,,3.0,,,,5.0,
Brigerbad - Wallis,BRIGE-Q4,46.30173,7.92536,,8,,16.1,6.47,7.5,,,,29.5,16.2,120.0,13.8,245.0,190.0,0.16,7.3,,,,,0.22,,,,5.0,
Brigerbad - Wallis,BRIGE-Q6,46.30225,7.92939,,8,,22.5,7.04,6.63,,,,67.0,10.0,103.3,29.1,268.0,144.9,0.37,9.3,,,,,0.37,,,,5.0,
Combioula - Wallis,S1,46.18651,7.41623,,3,,28.0,46.5,7.06,,,,414.0,99.4,551.0,497.0,1807.0,238.0,0.6,26.2,,,,,1.7,,,,5.0,
Combioula - Wallis,S4,46.18736,7.41597,,3,,24.9,42.199999999999996,6.58,,,,344.0,96.5,553.0,403.0,1744.0,237.0,0.5,22.2,,,,,1.5,,,,5.0,
Gletsch,Gletsch,46.5627,8.36098,,8,,18.6,2.46,,,,,50.4,0.34,6.8,12.1,71.9,34.7,0.1,4.2,,,,,3.1,,,,5.0,
Lavey-les-Bains,Q8,46.2077,7.011839999999999,,1,,55.0,7.21,,,,,26.0,19.8,111.4,21.7,222.0,212.0,,3.0,,,,,,,,,5.0,
Leukerbad,Blisch,46.38643,7.64338,,6,,45.5,16.86,7.29,,,,19.0,57.0,452.0,6.0,1280.0,101.0,0.1,1.9,,,,,2.8,,,,5.0,
Leukerbad,Fischweiher,46.38173,7.632639999999999,,1,,45.9,17.169999999999998,6.59,,,,22.0,58.9,474.0,7.5,1345.0,114.0,0.1,0.8,,,,,2.9,,,,5.0,
Leukerbad,Fussbad,46.3815,7.63134,,1,,37.3,17.27,7.03,,,,23.6,60.2,479.0,8.9,1347.0,101.0,0.1,1.1,,,,,2.6,,,,5.0,
Leukerbad,Heilbad,46.38397,7.6346,,1,,43.6,16.25,6.56,,,,19.8,55.2,446.0,6.6,1231.0,100.0,0.15,0.7,,,,,2.4,,,,5.0,
Leukerbad,Rossgull,46.37746,7.62547,,1,,44.0,18.29,7.4,,,,20.8,58.8,403.0,9.0,1150.0,106.0,0.15,1.67,,,,,2.3,,,,5.0,
Leukerbad,San Lorenz,46.37881,7.63003,,1,,51.0,16.580000000000002,6.7,,,,19.0,56.0,447.0,6.2,1248.0,99.0,0.1,1.8,,,,,2.4,,,,5.0,
Leytron,Leytron,46.18258,7.187,,6,,24.2,10.05,7.34,,,,9.3,38.8,210.0,2.4,553.0,167.0,0.08,0.6,,,,,1.2,,,,5.0,
Peiden,P3A,46.71674,9.20027,8.0,5,,15.2,28.999999999999996,6.25,,,,167.0,58.0,519.0,54.0,1042.0,889.0,,16.0,,,,,,,,,5.0,
Pre-St-Didier,Bath Spring,45.7630254,6.985010000000001,,8,,36.0,,6.8,,,,75.0,22.9,146.0,47.5,205.0,415.0,0.1,3.75,,,,,0.49,,,,5.0,
Rhaezuens,Rhaezuens,46.7729,9.41885,8.4,6,,14.7,15.299999999999999,6.4,,,,161.0,41.2,227.0,23.2,163.0,1140.0,0.3,9.0,,,,,0.8,,,,5.0,
