location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Acqui Terme,La Bolente,44.7,8.466666667,,6,,69.5,,8.16,,67.34466944356441,,28.751920038865986,0.005760131660152232,3.3933829033384897,31.593794076163608,2.2902352696231523,0.45889001062002593,0.18731988472622477,0.35807183432527756,,,,,305.2952942414991,,,,5.0,
Acqui Terme,44b,44.6833333,8.5,,1,,31.5,,8.65,,48.236231356871414,,21.48781921210257,0.009051635465953507,2.0410200109785914,21.7771509167842,1.7384967728503018,0.47527893957074113,0.13544668587896252,0.22456219324113832,,,,,347.4049899989472,,,,5.0,
Lomaso,Terme di Comano,46.042222,10.886389,,6,,27.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Visone,Caldana,44.661944,8.654688900000002,,1,,22.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Albettone,La Boia,45.368333,11.607467,,1,,24.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Arqua' Petrarca ,Casa Trieste,45.276667,11.742467,,1,,28.3,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Arqua' Petrarca ,Lago di Arqua,45.268889,11.744411,,1,,43.1,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Baone,Val Calaona,45.264444,11.645244,,1,,36.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Bagno Barbarano,45.4,11.556356,,1,,28.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Bettini,45.447222,11.556356,54.0,6,,26.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Franceschetto,45.402222,11.569967,,1,,25.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Barbarano Vicentino,Monticello est,45.396944,11.596633,,1,,24.6,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Caldiero,Terme di Giunone,45.408889,11.194967,,1,,26.9,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Caldiero,Terme di Giunone (Pozzo),45.408889,11.194967,100.0,1,,26.4,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Galzignano Terme,San Bartolomeo,45.307222,11.758889,,7,,49.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Monselice,La Cava,45.256944,11.748889,,1,,32.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Mossano,Ponte Mossano,45.408889,11.586389,,1,,25.8,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Villaga,Bagno di Villaga,45.396667,11.556944,,1,,28.8,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
St. Jean,,45.773644,7.827468,,8,,42.0,,6.7,,7.562816961472758,,3.61030160851116,0.0740588356305287,0.19961075901991115,3.4414668547249643,0.1145117634811576,0.08194464475357606,,0.040922495351460295,,,,,,,,,5.0,
Acquarossa - Tessin,Albergo,46.45469,8.94303,,1,,24.9,22.75,6.7,,42.493886654006,,0.8047057802103188,3.517794692450113,13.698288337741403,0.19746121297602254,13.533208411409536,10.177524878394147,,0.4680510405823271,,,,,96.85230024213075,,,,5.0,
Acquarossa - Tessin,SatroC,46.45469,8.94303,,1,,24.5,24.15,6.5,,42.59714154562982,,0.7916564972879893,3.6083110471096482,14.072558510903736,0.1692524682651622,13.012700395586092,10.50530345740845,,0.4373591690687319,,,,,,,,,5.0,
Acquarossa - Tessin,SatroD,46.45469,8.94303,,1,,24.2,24.24,6.5,,46.483623117426134,,0.8047057802103188,3.6288829458959064,16.318179549877737,0.09873060648801127,14.574224443056423,10.603637031112742,,0.4552627607849958,,,,,,,,,5.0,
Andeer - Graubuenden,Andeer,46.6129,9.44491,,6,,18.0,20.3,7.0,,34.131948741420146,,0.5219713168931798,2.262908866488377,13.598482958231447,0.12693935119887165,14.886529252550488,2.6550064900158645,,0.06905671090558925,,,,,11.05379513633014,,,,5.0,
Bad-Ragaz - Sankt Gallen,Pfaefer,46.9693,9.48696,,5,,36.5,4.32,7.34,,8.623754650376874,,1.3049282922329495,0.6171569635877392,1.5170417685513247,1.0719322990126938,0.2810743285446596,3.6547311560094924,0.0446685878962536,0.06905671090558925,,,,,63.164543636172226,,,,5.0,
Berguen - Graubuenden,,46.61848,9.65865,,6,,17.0,,,,22.921108269049824,,0.21748804870549157,2.756634437358568,7.834722291531513,0.1410437235543018,9.52529668956902,2.343616839952275,,0.10230623837865073,,,,,,,,,5.0,
