location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Bad Hersfeld,Linggbrunnen,50.86525713287972,9.714715247898296,52,Sandstone,Triassic,10.9,,6.95,,116.14091738379967,,49.891758373039764,2.1226085167660975,5.599081790508508,40.818053596614945,8.83926712471372,6.481821400007866,0.01786743515850144,0.7649948974763608,48.12828121433462,,0.010564956576237801,0.0019294477410899558,,1.2752217969870123,269.6197669952631,,6,
Bad Hersfeld,Neuer Lullusbrunnen ,50.86156220296154,9.701449478698404,412,Dolomite,Permian,19.1,,,,159.53299974284107,,64.20247197786111,4.813824315984365,13.556065671939715,45.92383638928067,25.765146783260462,5.028123402079427,,,,,0.243531202435312,,,,,,6,
Bad Hersfeld,Vitalisbrunnen,50.86023694060793,9.697594749404145,437.2,Dolomite,Permian,18.8,,6.7,,183.06296871247008,,74.16342460857263,6.163340876362889,13.952792055491791,48.71650211565585,30.78284405579846,6.632599546354446,0.07204610951008646,2.041009455654082,124.40082173019857,,0.09669621273166802,0.0010921402308056354,,,316.22071437716045,,6,
Bad Hersfeld,Vitalisbrunnen,50.86023694060793,9.697594749404145,437.2,Dolomite,Permian,18.8,11240.0,6.78,183.0,377.404569826624,0.006250390649415589,165.29091701617358,7.076733182472743,16.966914516692448,151.19887165021154,29.35665209244222,5.40834655373602,0.04178674351585014,1.688052933247737,,7.761392615589312,0.08416151848867401,0.0021842804616112707,131.59279924202548,0.000806387882248016,149.78875944181283,,6,
Bad Hersfeld-Sorga,Breitzbachsmühle,50.8711828834292,9.785695996856845,0,Sandstone,Triassic,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Auguste-Victoria-Brunnen,50.22756965149286,8.62799151607764,53,Schist,Silurian ,10,,,,177.7754321515283,,68.90021382989973,3.0857848179386957,9.007435500773491,79.52045133991537,0.21861336664584635,14.487813192432247,,2.429773161492955,,,0.12534694242994002,,,,,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,10.6,18100.0,,,345.5081174839362,,133.14618341750193,6.097510800246862,17.263835520734567,160.11283497884344,0.24661669789714763,23.68200233378348,0.3609510086455331,3.662563333955696,98.19675873088335,203.07129393502603,0.1975109678574626,0.011030616331136917,,,425.80975547305076,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,11,,,,306.6364549047402,,119.22694830035047,4.4846739354042375,15.220320375268226,136.69957686882933,0.2290235269623152,26.59923168701079,,4.015519856362041,,,0.16116035455278002,,,,,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Elisabethenbrunnen,50.2263063664554,8.629346647329923,7.5,Schist,Silurian ,11,,6.0,,307.57076044691803,,119.79241722698475,5.472125077144621,14.721293477718447,136.9252468265162,0.2810743285446596,26.746732047567225,,3.631871462442101,,,,,,,,,6,
