location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Cassia,Raft River Geothermal 1,42.10207,-113.38434,,,,59.7,,,,35.82082860627492,,24.694345558670033,,1.4943135885024201,7.565472496473907,0.24508640433062667,0.45889001062002593,0.22666521714697405,1.0203589414373515,,,,,115.69638909358879,,,
Cassia,Raft River Geothermal 2,42.11042,-113.37519,,,,47.9,,,,31.613436721702247,,18.191696401995166,,1.3096686461400269,9.971636107193229,0.26473037684780343,0.5113345832623146,0.15119495518731987,0.9690446899225796,,,,,244.13096115380563,,,
Cassia,Raft River Geothermal 7,42.08359,-113.35865,,,,48.0,,,,126.65602979086852,,54.728295225584915,0.004230455790989508,4.97063725734817,61.977856135401964,,0.44250108166931074,0.37059358328530256,3.843724663220651,,,,,318.1913885672176,,,
Cassia,Raft River Geothermal  4,42.09787,-113.38541,,,,48.3,,,,50.19677584314741,,23.599558268723797,,1.4917361145765755,22.295176304654444,0.6175671455340412,0.5965570138060337,0.22686006916426513,0.9929076200243999,,,,,376.4133066638593,,,
Power,Indian Hot Springs,42.72589,-112.87381,,,,32.7,,,,17.930256203448828,,5.482060028528343,0.802964966056367,2.0171715155446877,6.100719322990126,0.20624921923797626,2.989340640610455,0.011812487740634006,0.29350892494047054,,,,,26.429097799768396,,,
Cassia,Grush Dairy,42.23667,-113.36971,,,,54.7,,,,13.59524702853911,,7.133889962095748,0.0036125193486936844,0.022346424472279053,1.9454414668547249,0.2500645429939621,3.802231516565929,0.021464800662824204,0.06361657667980448,,,,,352.5792188651437,,,
Cassia,Raft River USGS Well,42.107989,-113.39206,,,,44.7,,,,59.435407720176066,,27.03231046819131,0.005886654774737709,1.764596536753331,27.544640338504934,0.5878825733916302,1.2783364581557866,0.21548556757925072,0.6354879879687864,,,,,370.78113485630064,,,
Cassia,Raft River Frasier Well,42.10776,-113.39186,,,,40.9,,,,54.3713577494528,,26.023181189858846,0.008767848450936021,1.6771395778232443,24.198843441466853,0.5665282115344575,0.8030575185850454,0.20919749769452448,0.578268108843607,,,,,306.3743551952837,,,
Cassia,Raft River Crook Well,42.09656,-113.378,,,,26.0,,,,105.15303338812772,,51.62804097770621,0.012845941349516561,3.934906931483607,47.381946403385044,0.588245887986675,0.0,0.3697741641210374,0.917692073568416,,,,,319.5810085272133,,,
Blaine,Milford Sweat,43.36414,-113.78943,,,,38.1,,,,8.49263614046418,,1.8683149417464788,0.562989388603168,1.6590548430560408,0.18632440056417487,0.519719966687487,3.3761193638473337,0.006447758763688761,0.21624469606095406,,,,,97.42078113485628,,,
Blaine,Magic Hot Springs Landing Runoff,43.42818,-114.39941,,,,39.1,,,,28.447590297656998,,14.485358195639114,0.05323001649866283,0.32851439692599427,2.230355430183357,0.5512044555486154,9.538356649316253,0.16877231613832855,0.5353455265318441,,,,,556.453310874829,,,
Camas,Elk Creek 1,43.42341,-114.62857,,,,50.0,,,,7.224941125858438,,3.922555200532898,,0.05809671141274514,0.6536897038081805,0.44317509889652296,1.2783364581557866,0.030348825576368876,0.04251847267016724,,,,,796.220654805769,,,
Camas,Elk Creek 2,43.42322,-114.62865,,,,55.5,,,,7.2362862679855855,,3.968495482055518,,0.05652976695443884,0.6528236953455571,0.44344264001665623,1.2455586002543562,0.030894138314121036,0.04015264090766095,,,,,798.3893041372776,,,
Camas,Barron Well,43.29241,-114.91002,,,,38.0,,,,12.656304210837643,,6.796407071336819,,0.42163281600878283,0.26749506346967555,2.1958296897772223,2.474728271557997,0.051741170763688754,0.07586774872564792,,,,,372.6023791978103,,,
Camas,Wardrop Hot Springs (Gonzales' House),43.3829,-114.93224,,,,67.5,,,,5.57301837633096,,2.4364747040303016,,0.029375218324267677,0.14271650211565584,0.11964397251717676,2.638617561065149,0.007328268458213256,0.02243831573239757,,,,,176.42383408779872,,,
Blaine,Magic Hot Springs Landing Well,43.32777,-114.39941,,,,75.0,,,,27.573557822268242,,13.507611116057756,0.05700473153672084,0.5575203353460751,2.090626234132581,0.5240308140745368,9.636690223020544,0.17034535043227664,0.5060475775161579,,,,,523.6814401515949,,,
Elmore,Prince Albert Hot Springs,43.12966,-115.33841,,,,57.7,,,,3.0068195844169523,,2.40435212724408,,0.006414990768002395,0.07205641748942171,0.0876972725379971,0.0,0.001968719432276657,0.06830731770946563,,,,,366.022739235709,,,
Cassia,Oakley Warm Spring,42.17334,-113.86163,,,,46.9,,,,7.426394862496641,,3.7287021022264293,,0.055683916363091966,1.482919605077574,0.22272954403497813,1.4750036055643692,0.004972624334293949,0.05584130256302704,,,,,400.54216233287707,,,
Cassia,Richard Austin Well 1,42.08533,-113.93984,,,,45.7,,,,8.346598766100309,,4.60926336406425,0.0023163958033326475,0.05333100454114476,0.4560197461212976,0.23739225484072451,2.802506850572301,0.009854235969740633,0.048296217482601544,,,,,127.61869670491629,,,
Cassia,Marsh Creek Well,42.47663,-113.5077,,,,59.6,,,,9.43232267225843,,4.688011436739535,0.01668792429541247,0.2265656968910624,1.4604569816643158,0.5231678117843015,1.704448610874382,0.009706101475504322,0.10935769585889922,,,,,693.9204126750184,,,
Twin Falls,1000 Springs (Sliger's Well),42.70399,-114.85699,,,,72.0,,,,11.935008079389368,,5.934935666382729,,0.023531613353959778,1.4230098730606489,0.3128981886321049,2.9172293532273077,0.007801412576368875,0.04063092257208114,,,,,1274.9710495841668,,,
Twin Falls,Banbury Hot Springs Well,42.68841,-114.8268,,,,58.8,,,,9.006946365449402,,4.209311542016799,,0.02197963970257997,0.475478138222849,0.2446293982927337,3.408897221748764,0.005009168059077809,0.04218341973947716,,,,,599.4578376671228,,,
Twin Falls,Banbury Hot Springs,42.68841,-114.8268,,,,58.5,,,,7.826277218037141,,4.128001460127764,,0.026016767303757668,0.4727362482369535,0.24508536331459504,2.310838982050845,0.004935552942363112,0.040884130512068295,,,,,597.7787135487946,,,
