location,well_or_spring_name,utm_e,utm_n,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Toscana,POZZO N.092,43.21305556,10.91027778,1024,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.090,43.21388889,10.89527778,752,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.087,43.21222222,10.90555556,301,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.086,43.2125,10.9025,439,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.081,43.21833333,10.90527778,415,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.066,43.21138889,10.9025,405,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.064,43.21166667,10.89583333,623,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.061,43.22027778,10.90444444,519,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.050,43.21027778,10.90472222,326,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.045,43.21944444,10.89388889,404,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.041,43.21472222,10.90722222,230,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.038,43.2175,10.89555556,304,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.037,43.215,10.89638889,422,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.031,43.21444444,10.90138889,239,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.030,43.21416667,10.9025,286,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.026 BIS,43.21527778,10.89944444,346,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.025,43.215,10.90027778,319,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.019,43.21694444,10.89305556,802,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,POZZO N.016,43.21666667,10.89944444,205,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,OLMO,43.21555556,10.90444444,249,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,NICCOLINI,43.21472222,10.90277778,256,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MIROLLI,43.21555556,10.90277778,287,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,MADONNA,43.215,10.90722222,203,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,LAGON TONDO 002,43.21527778,10.90555556,186,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,LAGON TONDO 001,43.21527778,10.90555556,184,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,GUIDUCCI,43.21666667,10.905,215,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,GRANDI,43.21666667,10.90055556,213,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,GE 004,43.21333333,10.9,488,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,GARFAGNINI,43.21611111,10.90888889,276,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,FORNACE,43.21416667,10.9075,152,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,FORCONALE 002,43.21444444,10.90722222,175,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,EX BELGA,43.21138889,10.90888889,171,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CPC 001,43.21472222,10.90722222,2029,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CIGNI,43.21555556,10.90361111,260,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CATARZI,43.21666667,10.90888889,276,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CASTELNUOVO BFC 002,43.21722222,10.90222222,251,,,,,,,,,,,,,,,,,,,,,,,,
Toscana,CASTELNUOVO BFC 001,43.21722222,10.90305556,244,,,,,,,,,,,,,,,,,,,,,,,,
