location,well_or_spring_name,utm_e,utm_n,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
"Aνατολική Μακεδονία, Θράκη",GR2,41.12222,25.40073,,Basalt,,21.1,1880,7.04,,,,89,57.7,69.1,241,179,519,,15.9,,,2.71,0.109,,,,
"Aνατολική Μακεδονία, Θράκη",GR3,41.12222,25.40073,,Basalt,,21.6,1926,7.27,,,,88,55.5,59,153,209,647,,1.1,,,0.024,0.03,,,,
"Aνατολική Μακεδονία, Θράκη",GR4,41.12222,25.40073,,Basalt,,20,1197,6.57,,,,159,32,121,62.3,136,427,,0.7,,,0.024,0.031,,,,
"Aνατολική Μακεδονία, Θράκη",GR5,41.12222,25.40073,,Basalt,,19.5,1098,7.16,,,,119,31.9,106,62.6,131,397,,3.5,,,0.013,0.031,,,,
"Aνατολική Μακεδονία, Θράκη",GR6,41.12222,25.40073,,Basalt,,20,1630,6.86,,,,163,38.8,149,149,149,531,,1.4,,,0.025,0.033,,,,
"Aνατολική Μακεδονία, Θράκη",GR7,41.12222,25.40073,,Basalt,,19.5,1418,7.29,,,,339,45.1,120,140,139,427,,4,,,0.025,0.034,,,,
"Aνατολική Μακεδονία, Θράκη",GR8,41.12222,25.40073,,Basalt,,18,2130,7.37,,,,1325,69.5,170,217,385,391,,15.5,,,0.035,0.056,,,,
"Aνατολική Μακεδονία, Θράκη",GR9,41.12222,25.40073,,Basalt,,19.5,4090,6.7,,,,10350,122,335,925,120,744,,1.3,,,0.024,0.395,,,,
"Aνατολική Μακεδονία, Θράκη",GR10,41.12222,25.40073,,Basalt,,19.9,9000,7.7,,,,10600,96.8,199,2201,160,1702,,496,,,1.513,0.747,,,,
"Aνατολική Μακεδονία, Θράκη",n5,41.13256,24.87888,,Basalt,,27,,7.6,,416,,46,5,58,34,19,252,,2,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n6,41.13256,24.87888,,Basalt,,17,,7.4,,481,,23,20,83,19,52,280,,3,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n7,41.13256,24.87888,,Basalt,,16,,7.5,,316,,16,10,48,14,15,196,,16,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n8,41.13256,24.87888,,Basalt,,16,,7.4,,340,,21,10,52,14,22,219,,1,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n9,41.13256,24.87888,,Basalt,,26,,7.5,,722,,92,22,77,80,65,380,,6,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",nll,41.13256,24.87888,,Basalt,,17,,7.5,,381,,41,13,41,21,36,226,,2,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n12,41.13256,24.87888,,Basalt,,24,,7.3,,521,,43,12,79,39,16,330,,2,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n13,41.13256,24.87888,,Basalt,,18,,7.3,,1388,,154,58,224,553,57,336,,4,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n15,41.13256,24.87888,,Basalt,,20,,7.3,,1383,,184,50,204,507,80,354,,1,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n16,41.13256,24.87888,,Basalt,,21,,7.2,,1311,,205,50,147,404,106,397,,1,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n17,41.13256,24.87888,,Basalt,,18,,7.2,,361,,57,14,37,110,30,110,,1,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n18,41.13256,24.87888,,Basalt,,21,,7.2,,1251,,193,51,144,425,78,353,,6,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n19,41.13256,24.87888,,Basalt,,17,,7.8,,274,,17,7,44,16,17,171,,1,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n20,41.13256,24.87888,,Basalt,,20,,7.3,,898,,122,27,115,222,64,347,,2,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n21,41.13256,24.87888,,Basalt,,18,,7.5,,943,,138,34,132,376,57,2112,,4,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n24,41.13256,24.87888,,Basalt,,19,,7.3,,630,,61,16,96,121,19,314,,2,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n25,41.13256,24.87888,,Basalt,,19,,7.4,,738,,111,19,93,202,42,267,,2,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n26,41.13256,24.87888,,Basalt,,20,,7.7,,2028,,361,75,237,979,89,277,,9,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n28,41.13256,24.87888,,Basalt,,16,,7.5,,527,,48,12,811,43,37,305,,1,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n29,41.13256,24.87888,,Basalt,,17,,7.3,,1615,,276,59,192,773,27,275,,12,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",n50,41.13256,24.87888,,Basalt,,10,,7.3,,541,,63,16,66,46,64,281,,4,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",W6,41.13256,24.87888,,Basalt,,30,,8,,590,,175,1,4,99,25,281,,4,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",Wll,41.13256,24.87888,,Basalt,,32,,7.6,,515,,106,5,36,76,24,264,,2,,,,,,,,
Κεντρική Μακεδονία,1,40.51317,23.41461,,Basalt,,18.5,1556,6.8,,,,132,72,110,135,49,635,,4.45,,,,,,,,
Κεντρική Μακεδονία,1A,40.51317,23.41461,,Basalt,,21.4,1405,6.7,,,,99,59,124,109,37,683,,5.04,,,,,,,,
Κεντρική Μακεδονία,2,40.51317,23.41461,,Basalt,,18.5,1514,6.9,,,,110,77,113,152,32,647,,5.76,,,,,,,,
Κεντρική Μακεδονία,3,40.51317,23.41461,,Basalt,,22.5,1240,6.5,,,,95,55,112,84,25,677,,3.88,,,,,,,,
Κεντρική Μακεδονία,3A,40.51317,23.41461,,Basalt,,20.3,1207,6.7,,,,94,53,105,85,22,636,,4.77,,,,,,,,
Κεντρική Μακεδονία,4,40.51317,23.41461,,Basalt,,19.2,963,6.9,,,,70,64,57,45,12,543,,2.42,,,,,,,,
Κεντρική Μακεδονία,5,40.51317,23.41461,,Basalt,,20.5,1431,6.9,,,,91,79,112,123,32,626,,4.72,,,,,,,,
Κεντρική Μακεδονία,6,40.51317,23.41461,,Basalt,,20.2,1641,6.9,,,,105,44,208,141,33,757,,9.26,,,,,,,,
Κεντρική Μακεδονία,7,40.51317,23.41461,,Basalt,,20.3,1483,6.4,,,,98,42,172,129,31,674,,8.06,,,,,,,,
Κεντρική Μακεδονία,8,40.51317,23.41461,,Basalt,,33,2091,6.3,,,,155,34,277,202,26,1011,,18.8,,,,,,,,
Κεντρική Μακεδονία,10A,40.51317,23.41461,,Basalt,,21.3,780,6.9,,,,67,51,33,53,17,385,,1.32,,,,,,,,
Κεντρική Μακεδονία,11,40.51317,23.41461,,Basalt,,21,1026,7.3,,,,67,79,48,56,21,574,,1.16,,,,,,,,
Κεντρική Μακεδονία,12,40.51317,23.41461,,Basalt,,22.3,1017,7.1,,,,73,72,53,62,22,554,,1.68,,,,,,,,
Κεντρική Μακεδονία,13,40.51317,23.41461,,Basalt,,22.8,1080,7.3,,,,64,73,53,59,18,583,,1.72,,,,,,,,
Κεντρική Μακεδονία,14,40.51317,23.41461,,Basalt,,40.7,1981,6.3,,,,144,39,254,166,28,1043,,16.4,,,,,,,,
Κεντρική Μακεδονία,15,40.51317,23.41461,,Basalt,,18.2,4400,7.1,,,,289,278,217,984,371,542,,6.7,,,,,,,,
Κεντρική Μακεδονία,15A,40.51317,23.41461,,,,17.6,878,7,,,,21,87,51,26,9,570,,0.9,,,,,,,,
Κεντρική Μακεδονία,17,40.51317,23.41461,,Basalt,,15.8,1249,6.7,,,,52,21,183,162,21,417,,0.42,,,,,,,,
Κεντρική Μακεδονία,19,40.51317,23.41461,,Basalt,,20.6,805,7.4,,,,27,14,136,33,22,412,,1.52,,,,,,,,
Κεντρική Μακεδονία,20,40.51317,23.41461,,Basalt,,17.7,1638,6.3,,,,102,45,211,192,27,688,,8.46,,,,,,,,
Κεντρική Μακεδονία,21,40.51317,23.41461,,Basalt,,18.6,1630,6.5,,,,125,32,183,211,39,572,,12.2,,,,,,,,
Κεντρική Μακεδονία,22,40.51317,23.41461,,Basalt,,20.2,1450,6.3,,,,100,38,189,137,23,720,,9.69,,,,,,,,
Κεντρική Μακεδονία,23,40.51317,23.41461,,Basalt,,18.5,1665,6.6,,,,152,65,117,273,27,506,,4.3,,,,,,,,
Κεντρική Μακεδονία,24,40.51317,23.41461,,Basalt,,19.7,1690,6.7,,,,167,55,125,297,30,482,,4.6,,,,,,,,
Κεντρική Μακεδονία,26,40.51317,23.41461,,Basalt,,19.3,1545,6.1,,,,103,46,159,185,38,558,,8.3,,,,,,,,
Κεντρική Μακεδονία,27,40.51317,23.41461,,,,20.8,1695,5.9,,,,110,56,194,169,33,733,,11,,,,,,,,
Κεντρική Μακεδονία,28,40.51317,23.41461,,,,28.6,1480,6.1,,,,79,83,69,90,24,670,,14.5,,,,,,,,
Κεντρική Μακεδονία,29,40.51317,23.41461,,,,23,880,7.1,,,,31,74,55,96,25,445,,1.2,,,,,,,,
Κεντρική Μακεδονία,36,40.51317,23.41461,,Basalt,,19,1570,6.6,,,,100,35,146,227,54,415,,9.2,,,,,,,,
Κεντρική Μακεδονία,37,40.51317,23.41461,,Basalt,,22.4,1670,6.6,,,,106,33,136,173,28,615,,11.5,,,,,,,,
Κεντρική Μακεδονία,16a,40.51317,23.41461,,Basalt,,26,54000,8.2,,,,11840,1409,422,20990,2990,180,,453,,,,,,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-1,40.72000141,24.05413173,,Basalt,,83,7718,6.85,,5077.1,,1700,14.09,127.45,2198.52,245,1146.8,0,140,3.917,,0.029,0.085,4.2,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-1,40.72000141,24.05413173,,Basalt,,84,8170,7.3,,,,1711,17.9,390,2149,151,1269,2.851,167,,,0.125,0.0676,,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-2,40.72977807,24.01778448,,Basalt,,46,3334,7.28,,2146,,750,36.55,28.86,680.83,200,811.3,,16,1.1159,,0.025,0.038,1.74,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-2,40.72977807,24.01778448,,Basalt,,45,3550,7.4,,,,731,20.4,41.5,631,192,978,0.1991,15.17,,,0.0438,0.0264,,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-3,40.72354,24.03560348,,Basalt,,86,5858,8.15,,3104,,1060,48.11,26.45,1248.19,250,793,0,78,,,1.158,0.274,,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-3,40.72354,24.03560348,,Basalt,,,4380,6.75,,2690,,820,19.93,131.86,620.55,281.3,1366,,136,,,0.257,0.148,9,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-3,40.72354,24.03560348,,Basalt,,90,4260,7.2,,,,836,16.6,34.9,762,15.9,1225,1.215,82,,,0.151,0.0025,,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-3,40.72354,24.03560348,,Basalt,,48,14850,7.86,,9763,,2850,344.15,274.15,4645.26,1040,986.98,,120,,,0.053,0.716,2,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-4,40.72365709,24.03565091,,Basalt,,48,37360,6.13,,27380.6,,8500,950.13,343.89,14538.6,2445,488,,300,5.52,,0.142,0.601,17.75,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-4,40.72365709,24.03565091,,Basalt,,48,37400,6.64,,,,7668,962,367,14792,2440,505,0,340,,,1.91,0.716,,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-5,40.77951828,23.87335896,,Basalt,,30,47120,7.55,,29325.4,,9000,1231.5,436.07,17659,0.5,1549.4,,150,,,0.16,0.256,0.77,,,
"Aνατολική Μακεδονία, Θράκη",ΓΕΩΤΡΗΣΗ AKR-6,40.7212141,24.07625087,,Basalt,,38,42850,7.35,,30722.9,,9600,946.24,881.76,16417.98,2590,30.5,,260,1.94,,0.019,0.253,1.07,,,
"Aνατολική Μακεδονία, Θράκη",ΛΟΥΤΡΑ ΕΛΕΥΘΕΡΩΝ,40.73644559,24.091475,,Basalt,,41,3800,6.2,,2365.8,,650,19.25,212.5,785,25,1146.8,1.17,53.5,1.35,,,0.2,1.73,,,
"Aνατολική Μακεδονία, Θράκη",ΛΟΥΤΡΑ ΕΛΕΥΘΕΡΩΝ,40.73644559,24.091475,,Basalt,,41.4,3876,7.3,,2630,,678.2,12.64,120.24,857.96,143.13,740.75,0.8,62.56,,,0.1,0.124,,,,
Κεντρική Μακεδονία,ΓΕΩΤΡΗΣΗ ΑΚ-Θ,40.84022,22.65353,,Basalt,,49,2217,6.86,,1337.8,,100,95.8,284.5,120,0.48,1439,,30,1.89,,,,,,,
"Aνατολική Μακεδονία, Θράκη",ΠΗΓΗ ΧΛΙΑΡΑ ΝΕΡΑ,40.74806061,24.07903485,,Basalt,,52,5400,7.2,,3800,,1046.4,93.33,34.47,1318.85,240.64,899.4,1.23,152.5,,,1.79,,,,,
Στερεά Ελλάδα,8*,38.79961,22.54452,,Basalt,,41.2,15900,5.95,,,,2750,236,505,4886,456,854,0.87,221,,,,,,,,
Στερεά Ελλάδα,9*,38.79961,22.54452,,,,41.1,16100,5.98,,,,46,,,5464,,793,0.3,,,,,,,,,
Στερεά Ελλάδα,10*,38.79961,22.54452,,,,40.9,16100,5.99,,,,2510,235,545,4991,457,854,1,231,,,,,,,,
Στερεά Ελλάδα,11,38.79961,22.54452,,Basalt,,14.8,600,8,,,,2318,12,48,25,101,159,0.08,0.4,,,,,,,,
Στερεά Ελλάδα,12,38.79961,22.54452,,Basalt,,41.3,10500,6,,,,2314,190,550,4560,440,960,1.1,110,,,,,,,,
Στερεά Ελλάδα,13,38.79961,22.54452,,Basalt,,41,15070,6,,,,1840,211,894,5942,351,903,0.3,90,,,,,,,,
Στερεά Ελλάδα,14,38.79961,22.54452,,Basalt,,41,15600,5.9,,,,3230,111,761,4632,324,915,0.6,92,,,,,,,,
Στερεά Ελλάδα,15,38.79961,22.54452,,,,25,12200,6.7,,,,2380,190,353,3370,341,823,0.4,102,,,,,,,,
Στερεά Ελλάδα,T. 1,38.79961,22.54452,,Basalt,,41.2,,5.95,,9883,,2751.26,116.52,504,4885.719,228,854,,220.35,,,,,,,,
Στερεά Ελλάδα,T. 1,38.79961,22.54452,,Basalt,,41.1,,5.98,,,,,,,,,793,,,,,,,,,,
Στερεά Ελλάδα,T. 1,38.79961,22.54452,,Basalt,,41.2,15900,5.95,,,,2710,236,505,4886,456,,,221,,,,,,,,
Στερεά Ελλάδα,T. 2,38.79961,22.54452,,Basalt,,40.9,,5.99,,10079,,8706.42,116.04,544,4991.36,228.48,854,,230.49,,,,,,,,
Στερεά Ελλάδα,T. 2,38.79961,22.54452,,Basalt,,40.9,16100,5.99,,,,2750,235,545,4991.8667,457.2667,,,231,,,,,,,,
Στερεά Ελλάδα,16*,38.7793,22.78989,,Basalt,,33.3,19000,6.2,,,,2554,234,590,5730,541,580,0.4,278,,,,,,,,
Στερεά Ελλάδα,17*,38.7793,22.78989,,,,29.1,13100,6.5,,,,4537,213,426,4283,449,506,,165,,,,,,,,
Στερεά Ελλάδα,18,38.7793,22.78989,,,,29.7,15100,6.4,,,,3730,,,4722,,568,,,,,,,,,,
Στερεά Ελλάδα,19*,38.7793,22.78989,,,,35,24200,6.1,,,,4400,355,835,7800,715,604,,416,,,,,,,,
Στερεά Ελλάδα,20,38.7793,22.78989,,,,37.4,17600,6.3,,,,5100,280,670,6570,730,710,0.6,130,,,,,,,,
Στερεά Ελλάδα,21*,38.7793,22.78989,,,,38.6,23900,6,,,,4986,304,720,7631,760,671,,319,,,,,,,,
Στερεά Ελλάδα,22,38.7793,22.78989,,,,42.2,27500,6.2,,,,,352,770,8996,893,586,,324,,,,,,,,
Στερεά Ελλάδα,23*,38.7793,22.78989,,,,35.9,25050,6.1,,,,8200,371,813,8689,790,610,0.3,433,,,,,,,,
Στερεά Ελλάδα,K.V. Karst,38.7793,22.78989,,,,23.3,,7.17,,1259,,1610.69,25.92,108.8,427.8815,25.44,372.1,,26.52,,,,,,,,
Στερεά Ελλάδα,K.V. Karst,38.7793,22.78989,,,,23,,7.24,,,,,,,,,341.6,,,,,,,,,,
Στερεά Ελλάδα,K.V. Karst,38.7793,22.78989,,,,23.3,2030,7.17,,,,231,52.4,109,427.905,50.72,,,26.5,,,,,,,,
Στερεά Ελλάδα,K.V.0,38.7793,22.78989,,,,24.3,,6.56,,6304,,3231.5,72.6,332.4,2912.9265,122.88,915,,130.65,,,,,,,,
Στερεά Ελλάδα,K.V.0,38.7793,22.78989,,,,24.2,,6.71,,,,2380.96,,,,,597.8,,,,,,,,,,
Στερεά Ελλάδα,K.V.0,38.7793,22.78989,,,,24.3,10000,6.56,,,,1610,147,333,2913.04,245.7,915,,131,,,,,,,,
Στερεά Ελλάδα,K.V.9,38.7793,22.78989,,,,33.3,,6.19,,11203,,,115.56,588.8,5729.7835,270.24,579.5,,277.29,,,,,,,,
Στερεά Ελλάδα,K.V.6a,38.7793,22.78989,,,,29.1,,6.46,,8435,,4538.82,105.12,425.2,4282.7145,224.16,506.3,,164.58,,,,,,,,
Στερεά Ελλάδα,K.V.6a,38.7793,22.78989,,,,29.7,,6.44,,,,4401.97,,,,,567.3,,,,,,,,,,
Στερεά Ελλάδα,K.V.6a,38.7793,22.78989,,,,29.1,13100,6.46,,,,2380,213,426,4283,449,,,165,,,,,,,,
Στερεά Ελλάδα,K.V.10,38.7793,22.78989,,,,35,,6.06,,15696,,5102.32,175.2,835.6,7864.228,357.12,603.9,,414.96,,,,,,,,
Στερεά Ελλάδα,K.V. F2a,38.7793,22.78989,,,,38.6,,6.02,,14861,,4988.01,150.12,718.4,7630.258,379.68,671,,318.24,,,,,,,,
Στερεά Ελλάδα,K.V. F2a,38.7793,22.78989,,,,38.6,23900,6.02,,,,4400,304,720,7630.85,759.85,671,,319,,,,,,,,
Στερεά Ελλάδα,K.V. F3a,38.7793,22.78989,,,,42.2,,6.2,,17047,,2711.24,173.76,768.4,8995.083,446.4,585.6,,323.31,,,,,,,,
Στερεά Ελλάδα,K.V. F3a,38.7793,22.78989,,,,42.2,27500,6.2,,,,5100,352,770,8995.8,892.9,0,,324,,,,,,,,
Στερεά Ελλάδα,K.V. F4a,38.7793,22.78989,,,,35.9,,6.1,,17043,,,183.24,811.2,8688.4405,394.56,610,,432.12,,,,,,,,
Στερεά Ελλάδα,24*,38.80412,22.49546,,,,37.7,41600,5.9,,,,3100,,,16091,,854,,,,,,,,,,
Στερεά Ελλάδα,25,38.80412,22.49546,,,,37.7,41000,6,,,,2535,827,1177,15673,1870,854,0.5,757,,,,,,,,
Στερεά Ελλάδα,26*,38.80412,22.49546,,,,33.8,40700,5.9,,,,,818,1190,15344,1856,854,0.2,974,,,,,,,,
Στερεά Ελλάδα,27,38.80412,22.49546,,,,32,13200,6.3,,,,8,272,517,5620,733,854,0.2,110,,,,,,,,
Στερεά Ελλάδα,28*,38.80412,22.49546,,,,29.3,15000,6.5,,,,2000,,446,4583,555,625,,196,,,,,,,,
Στερεά Ελλάδα,29,38.80412,22.49546,,,,15.3,600,7.4,,,,,15,71,135,15,241,0.005,1,,,,,,,,
Στερεά Ελλάδα,P. 1,38.80412,22.49546,,,,37.7,,5.88,,,,8203.64,,,,,854,,,,,,,,,,
Στερεά Ελλάδα,P. 1,38.80412,22.49546,,,,37.7,,6.02,,30269,,2536.21,408.12,1174.8,15671.736,934.56,793,,755.04,,,,,,,,
Στερεά Ελλάδα,P. 1,38.80412,22.49546,,,,37.7,45700,5.88,,,,,,,,,,,,,,,,,,,
Στερεά Ελλάδα,P. 3,38.80412,22.49546,,,,33.8,,5.9,,29223,,,403.92,1187.6,15342.76,927.36,793,,971.49,,,,,,,,
Στερεά Ελλάδα,P. 3,38.80412,22.49546,,,,33.8,45300,5.9,,,,8200,818,1190,15344,1856.088,,,974,,,,,,,,
Στερεά Ελλάδα,P. 1bis,38.80412,22.49546,,,,29.3,,6.48,,9080,,928.51,122.88,445.2,4582.6215,277.44,494.1,,195.39,,,,,,,,
Στερεά Ελλάδα,P. 1bis,38.80412,22.49546,,,,30,,6.35,,,,2561.05,,,,,591.7,,,,,,,,,,
Στερεά Ελλάδα,P. 1bis,38.80412,22.49546,,,,29.3,15000,6.48,,,,2535,249,446,4582.9333,555.6667,,,196,,,,,,,,
Στερεά Ελλάδα,Figuier,38.80412,22.49546,,,,24.1,,6.41,,4158,,3348.8,60.72,299.6,1654.806,78.72,542.9,,123.24,,,,,,,,
Στερεά Ελλάδα,P. 4a,38.80412,22.49546,,,,22.1,,6.42,,9390,,6858.6,204.36,624.8,4994.5505,17.28,854,,202.41,,,,,,,,
Στερεά Ελλάδα,P. 4a,38.80412,22.49546,,,,22.1,,6.61,,12219,,2001,137.04,770.4,6229.6285,43.68,793,,240.24,,,,,,,,
Στερεά Ελλάδα,P.Cot Fac,38.80412,22.49546,,,,22.5,,6.46,,23749,,,350.4,978,11625.1185,624.48,1128.5,,522.6,,,,,,,,
Στερεά Ελλάδα,Kamena Vourla,38.7793,22.78989,,,,15.4,726,7.31,,,,27.1,30.9,85.6,23.411,16.845,,,5.66,,,,,,,,
Στερεά Ελλάδα,Kam. Vourla KV7,38.7793,22.78989,,,,33.3,19000,6.19,,,,3230,234,590,5730.2,540.8,,,278,,,,,,,,
Στερεά Ελλάδα,River (overflow),38.79961,22.54452,,,,9.6,509,8.45,,,,24.05,26.8,50.8,5.267,69.877,,,8.95,,,,,,,,
Στερεά Ελλάδα,Hot river (wetland),38.79961,22.54452,,,,36.7,16180,7.24,,,,2740,241,514,5049,481,,,219,,,,,,,,
Στερεά Ελλάδα,Δ1,38.79961,22.54452,,,,40.4,480,6.5,,,,,,,,,,,,,,0,,,,,
Στερεά Ελλάδα,Δ2,38.79961,22.54452,,,,14.8,13000,8,,,,2805,221.3,561.1,4893,817,952,,97.8,,,0,,,,,
Στερεά Ελλάδα,Δ3,38.79154,22.72496,,,,28,18000,7,,,,46,12.2,48.1,24.8,101,159,,3.1,,,0,,,,,
Στερεά Ελλάδα,Δ4,38.79154,22.72496,,,,32.3,24000,6.6,,,,2533,201.9,416.8,4361,817,589,,78.2,,,100,,,,,
Στερεά Ελλάδα,Δ5,38.84905,22.47931,,,,35.3,31000,6.5,,,,3683,243.2,589.2,6347,1076,653,,93.8,,,230,,,,,
Στερεά Ελλάδα,Δ6,38.80412,22.49546,,,,32,38500,6.5,,,,4931,318.6,761.5,8722,1201,720,,156.4,,,1070,,,,,
Στερεά Ελλάδα,Δ7,38.80412,22.49546,,,,37,,6.5,,,,6318,564.2,881.8,11665,1369,787,,195.5,,,1320,,,,,
Στερεά Ελλάδα,Δ23,38.79961,22.54452,,,,19.4,440,9.7,,,,11.5,22.9,60.9,21.3,9.6,293,,3.1,,,790,,,,,
Στερεά Ελλάδα,Δ24,38.79961,22.54452,,,,22,500,7.3,,,,80.5,0.5,1.6,2783.3,38.4,1190,,0.4,,,6300,,,,,
Στερεά Ελλάδα,Δ31,38.82725,22.44824,,,,15.7,440,8,,264,,1713,229,200,5318.4,144,989,,62.6,,,2320,,,,,
Στερεά Ελλάδα,Δ42,38.80011,22.47816,,,,17.4,692,8.5,,300,,0.72,22.84,64.13,10.65,10.47,265.96,,3.77,,,2132,,,,,
Στερεά Ελλάδα,Δ43,38.80011,22.47816,,,,19.7,,8.4,,264,,9.6,30.13,54.51,7.09,4.95,296.46,,0.42,,,1644,,,,,
Στερεά Ελλάδα,Δ54,38.80011,22.47816,,,,14.7,692,8,,,,5.3,7.29,72.14,7.09,4.32,258.64,,0.78,,,0,,,,,
Στερεά Ελλάδα,Δ55,38.80559,22.44657,,,,15.2,510,,,,,21.2,30.2,72.1,35.5,34.6,305,,1.6,,,,,,,,
Στερεά Ελλάδα,Δ57,38.80961,22.41438,,,,14.7,459,7.6,,450,,10.1,22.9,90.6,7.1,45.6,345,,2.3,,,0,,,,,
Στερεά Ελλάδα,Δ61,38.82525,22.43211,,,,16.6,431,7.7,,550,,12,28,57.7,7.1,12,330,,0.8,,,0,,,,,
Στερεά Ελλάδα,Δ65,38.80011,22.47816,,,,16.1,1112,7.6,,390,,13.8,42.1,72.1,10.6,43.2,366,,0.8,,,2570,,,,,
Στερεά Ελλάδα,Δ78,38.80011,22.47816,,,,24.3,816,7.9,,400,,17,17.8,54.5,8.9,9.6,281,,1.6,,,0,,,,,
Στερεά Ελλάδα,Δ67,38.81616,22.60227,,,,17,1071,7.6,,850,,10.6,37,35.3,5.3,2.9,301,,0.8,,,710,,,,,
Στερεά Ελλάδα,Δ69,38.84905,22.47931,,,,17,459,7.7,,670,,96.6,61.8,38.5,90.4,6.2,543,,6.3,,,380,,,,,
Στερεά Ελλάδα,Δ70,38.84905,22.47931,,,,17.8,561,7.7,,880,,66.7,26.3,68.9,42.5,6.7,458,,0.8,,,750,,,,,
Στερεά Ελλάδα,Δ71,38.80011,22.47816,,,,17.6,40677,7.7,,390,,165.5,20.4,50.5,74.5,4.8,561,,2.3,,,0,,,,,
Στερεά Ελλάδα,Δ72,38.82725,22.44824,,,,17,41720,7.8,,460,,6.9,22.1,56.9,7.1,9.6,290,,0.8,,,,,,,,
Στερεά Ελλάδα,Δ81,38.80011,22.47816,,,,40.3,533,7.6,,26000,,27.6,27.5,46.5,8.9,13,336,,1.6,,,870,,,,,
Στερεά Ελλάδα,Δ82,38.80011,22.47816,,,,40.3,,7.7,,27500,,7702,613,1154,15246,221,587,,293.3,,,540,,,,,
Στερεά Ελλάδα,Δ85,38.80011,22.47816,,,,16.4,,7.6,,450,,8161,671,1130,16132,216,580,,312.8,,,1340,,,,,
Στερεά Ελλάδα,Δ122,38.80011,22.47816,,,,33.2,8526,,,,,23,18.05,66.7,33.7,22.8,268,,0.8,,,,,,,,
Στερεά Ελλάδα,Δ131,38.80011,22.47816,,,,38,,,,,,1379,192,277,2659,350,552,,41.3,,,,,,,,
Στερεά Ελλάδα,Δ19,38.90972,22.55742,,,,20,500,7.5,,,,6.9,15.1,101,11,21,311.2,,1.6,,,0,,,,,
Στερεά Ελλάδα,Δ20,38.91344,22.61516,,,,19.8,440,7.5,,,,29.9,31.6,64.1,17.7,68.2,321,,2.3,,,0,,,,,
Στερεά Ελλάδα,Δ21,38.8953,22.5833,,,,18.3,428,7.8,,,,13.8,20.9,115.4,28.4,38.4,390.5,,2.3,,,1270,,,,,
Στερεά Ελλάδα,Δ31,38.82725,22.44824,,,,15.7,571,8,,264,,11.5,31.1,54.5,14.2,28.8,280.7,,1.6,,,2320,,,,,
Στερεά Ελλάδα,Δ58,38.83328,22.39567,,,,14.6,602,7.7,,350,,0.72,22.84,64.13,10.65,10.47,265.96,,3.77,,,0,,,,,
