X,Y,OBJECTID,NAME,WATER_TEMP,DISCHARGE,GT_SILICA,GT_ALKALI,PH,CONDUCTIVITY,HARDNESS,CA_MG_L,MG_MG_L,NA_MG_L,K_MG_L,HCO3_MG_L,SO4_MG_L,CO3_MG_L,SIO2_MG_L,CL_MG_L,F_MG_L,E_ISO_18O,E_ISO_2H,RAD_ISO_3H,RAD_ISO_14C,GAS_NOBLE,GAS_DISS,GAS_EMITTED,REFERENCE,REF_LINK,COMMENTS,LOC_SOURCE,LATITUDE_DD,LONGITUDE_DD
724600.218900001,879786.2029,11,Moore HS,40,,,,,,,,,,,,,,,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016; Woodsworth; Glenn. Hotsprings of Western Canada; A Complete Guide. 2nd Ed. Gordon Soules Book Publishers Ltd. 2009","http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf; published source",,Located from imagery based on publication location (Google Earth/ArcMap),62.343,-128.1591
686719.009299999,930361.797499999,12,Nahanni headwaters HS,64,60,142,,,,,2.8,0,56,1.7,,,,109,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,62.817,-128.833
670696.541099999,1062913.3208,13,Mountain 3,8.5,25,85,,7.88,,,270,58.8,200,3.64,77.5,555,0.03,34,263,,,,,,,,,"Crandall; J.T.; T.L. Sadlier-Brown; Data on Geothermal Areas Cordilleran Yukon; Northwest Territories; and Adjacent British Columbia; Canada. Department of Energy Mines and Resources Canada. November 30; 1976",https://doi.org/10.4095/8331,,Publication location data,64.011,-129.00361
952004.559800001,780679.695599999,14,Kraus (Clausen Creek) HS,37,23,108,,,,,,,,,271,660,,56,2277,1,,,,,,H2S,,"Southern; J.G.; Halstead; E.C.; Mineral and thermal waters of Canada. Paper 73-18; Geological Survey of Canada; 1973; Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; May 5; 2016","https://doi.org/10.4095/102477; http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf; https://doi.org/10.4095/8331",,Located from imagery based on publication location (Google Earth/ArcMap),61.25238,-124.05754
697500.9004,881243.319599999,15,Nahanni North (Lened) HS,58,40,124,,,,,1.9,0,67,1.4,,,,78,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Located from imagery based on publication location (Google Earth/ArcMap),62.37167,-128.67981
722243.621200001,933138.5262,16,Broken Skull HS,45,35,108,,,,,140,50.2,50.2,33.8,,,,56,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016; Woodsworth; Glenn. Hotsprings of Western Canada; A Complete Guide. 2nd Ed. Gordon Soules Book Publishers Ltd. 2009","http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf; published source",,Located from imagery based on publication location (Google Earth/ArcMap),62.82168,-128.1336
734428.8902,916344.9188,17,Grizzly Bear HS,44,30,106,,,,,105,25.5,22,23.8,,,,54,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016; Woodsworth; Glenn. Hotsprings of Western Canada; A Complete Guide. 2nd Ed. Gordon Soules Book Publishers Ltd. 2009","http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf; published source",,Located from imagery based on publication location (Google Earth/ArcMap),62.6638,-127.91881
648925.0395,821724.231699999,18,McPherson Lake WS,16,20,85,,7.3,,,47,10.1,3.3,0.5,109,12.2,,34,0.2,,,,,,,,,"Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1978",https://doi.org/10.4095/8331,"Large; very obvious travertine deposit visible in imagery",Located from imagery based on publication location (Google Earth/ArcMap),61.86137,-129.66929
613781.956599999,979010.1987,19,Mactung HS,33,1,,,,,,,,,,,,,,,,,,,,,,,"EBA Engineering Consultants Ltd.; Mactung YESAB Proposal; December 2008","""EBA FILE""",,Located from imagery based on publication location (Google Earth/ArcMap),63.28318,-130.22964
725098.7519,836451.0196,20,West Cantung HS,41,30,109,,,,,7.6,1.2,47,1.2,,,,58,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Located from imagery based on publication location (Google Earth/ArcMap),61.95491,-128.20613
