WGS84_latitude,WGS84_longitude,total_dissolved_solids_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,F_in_umol/L_log_gauss
35.552734,-95.77248,1.0082815,0.9099954,1.2498231,1.226355,1.0391746,-0.17039135,-1.119499,-0.030535009,-0.08226777,0.004367621,0.06599878,-0.020972785
35.998894,-97.354,0.7273456,0.7599648,0.9424435,0.86372805,0.7576747,0.14605471,-0.6837021,-0.0120266415,0.026134208,-0.0068495665,0.043387126,-0.021373736
34.754345,-97.04326,0.54476637,0.6166014,0.6324713,0.60524386,0.5634847,-0.028921481,-0.56825656,-0.0046621254,0.0033842076,0.00928603,0.003915179,-0.020243606
41.531513,-105.777336,-0.81295544,-0.8442738,-0.44801393,-0.4847218,-0.86346936,0.6828551,0.33112836,-0.008935484,-0.047218353,-0.0015937625,0.01938102,-0.024704568
43.330627,-107.92455,-0.9201285,-0.96768516,-0.58301234,-0.69182336,-1.029217,0.6466538,0.81956106,-0.0030519029,-0.0926136,-0.011226657,-0.04996117,-0.027648794
44.985073,-101.59044,0.9278444,1.1431865,0.48365098,0.63303685,0.89255387,0.72943574,-0.5187039,0.011609385,0.43343705,0.010066952,-0.05848747,-0.020505942
36.37341,-99.9912,0.03728021,0.05027979,0.18092108,0.124880716,0.039634973,0.58236307,0.09029893,-0.011736665,0.007974726,-0.014311907,0.00939705,-0.025272245
38.18623,-101.328285,0.21456961,0.26853535,0.30161983,0.19977038,0.17900456,0.9981104,0.2792568,-0.011909427,0.040342487,-0.02096837,0.023936376,-0.022925332
41.19043,-107.4024,-1.2808902,-1.2552675,-1.0141703,-1.1355658,-1.133645,-0.3641467,0.34238052,-0.0520011,-0.3596018,0.01834341,0.071952626,-0.045578677
40.46994,-105.11445,-0.7091103,-0.68524945,-0.86585504,-0.93123084,-0.69444394,-0.36505553,0.9365155,-0.020343103,-0.09328435,-0.013903415,0.06655622,-0.029489014
37.348446,-97.67361,0.78500813,0.85332775,0.93490756,0.8184351,0.7981565,0.23710832,-0.83423275,-0.0094457455,0.050233655,0.010324992,-0.0026331148,-0.020994417
34.52348,-93.032814,0.84851587,0.8444362,1.0543531,1.105786,0.8505375,-0.55387735,-1.3198885,-0.009195004,-0.073784746,0.18541509,0.048699394,-0.0246437
37.839176,-98.355034,0.8357584,0.90670025,0.97273344,0.87371284,0.86346954,0.23338506,-0.8872724,-0.0016624798,0.05471144,0.0019368979,-0.027208662,-0.020041667
36.231308,-98.06232,0.6375092,0.6872847,0.830983,0.7317134,0.657827,0.3209339,-0.5114362,-0.0009182292,0.03980351,0.009146248,-0.013342463,-0.020800859
41.40563,-107.242935,-0.71635467,-0.7248146,-0.66860247,-0.92398596,-0.7156289,-0.0067413333,1.122428,-0.05730838,-0.50488335,-0.17640257,-0.120450936,-0.18599445
43.310925,-108.47378,-1.0458741,-1.079262,-0.6629528,-0.7762479,-1.1630937,0.5934015,0.85645145,0.006745416,-0.2518967,-0.005022989,-0.040664837,-0.034999304
42.007767,-106.89004,-0.7009213,-0.6708334,-0.27214646,-0.19386996,-0.7952689,1.3831508,-0.12308506,0.0038072013,0.0959353,-0.011041336,-0.0010920552,-0.028623257
32.13088,-94.71812,0.56583196,0.6201158,0.55140585,0.6136768,0.6045264,-0.88260245,-0.54178697,-0.0158877,0.00482057,0.024793472,0.09316806,-0.017895278
34.36103,-97.130684,0.25803033,0.31954405,0.29910982,0.29290846,0.27539235,-0.1556858,-0.51146626,-0.0071708234,0.016735379,0.008910937,0.029974218,-0.022920463
38.711655,-104.21912,-0.3551201,-0.30652663,-0.6389876,-0.7556889,-0.45771202,-0.081619605,1.4866257,-0.008102905,-0.025364596,-0.015897585,-0.0307719,-0.015007203
39.914165,-99.75385,-1.5751443,-1.5182046,-1.3339078,-1.3240457,-1.3943652,-0.6074336,0.053832363,-0.036848947,-0.46039125,0.0021170583,-0.13750549,-0.0036793095
32.009003,-94.46839,0.6601349,0.7039712,0.6043794,0.6989966,0.71627593,-0.9072894,-0.47077087,-0.035729762,-0.017694462,-0.0243502,0.28990623,-0.019797187
39.61176,-114.30572,-1.6292968,-1.775034,-0.2486843,-0.47826144,-1.5762445,0.07551808,-0.30069768,0.046532456,-1.2208941,-0.23798396,-0.99858105,-1.0176684
33.206516,-98.24307,-0.024370927,0.020532247,-0.11039374,-0.089999884,0.007838074,-0.30018356,0.2837736,-0.008339645,0.018438522,0.00010541754,0.022762626,-0.021024315
39.048527,-98.04827,1.22981,1.2318534,1.242058,1.2961824,1.2553737,-0.0692942,-1.1092902,-0.018948851,-0.0015829203,-0.0072287912,0.07267305,-0.0194445
32.640217,-96.12827,0.26885286,0.31924626,0.2984775,0.2943723,0.28433704,-0.33723062,-0.21864097,-0.023980396,0.0037095037,-0.016420355,-0.008368717,-0.023195006
40.250042,-105.96244,-0.85827714,-0.8084336,-1.0043726,-1.0847791,-0.760326,-1.1917238,0.6086352,-0.0008076854,-0.22566107,-0.020883035,0.22772002,-0.025544876
39.418148,-104.322586,-0.4514173,-0.39698756,-1.2865,-1.3788697,-0.49631733,-2.19156,1.7101865,-0.01835768,-0.19043349,-0.018219298,0.037284225,-0.019017711
32.018528,-96.86453,0.008261856,0.056409255,-0.089004755,-0.034749057,0.03634878,-0.7024256,-0.03490646,0.0004580574,0.03291159,-0.00097513886,0.003771366,-0.0211099
