location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Yukon,Snail,64.167,-128.25,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Mountain 1,64.009,-129.00417,,,,,,7.9,,,,80.0,102.0,350.0,114.0,1182.0,106.0,,1.6,,,,,,,,,7
Yukon,Mountain 2,64.009,-129.00861,,,,,,7.87,,,,420.0,65.0,390.0,535.0,1007.0,102.0,,6.2,,,,,,,,,7
Yukon,Ekwi (Godlin R.) HS,64.08333,-128.41667,,,,,,7.5,,,,5850.0,66.0,260.0,8312.0,1191.0,278.0,,80.0,,,,,,,,,7
Yukon,Morin South WS,59.96917,-134.22623,,,,,,8.2,,,,1.8,13.8,59.0,0.1,5.0,138.0,,0.7,,,,,,,,,7
Yukon,Jones Lake WS,59.87721,-133.98356,,,,,,7.6,,,,2.4,9.8,58.0,0.1,8.9,114.0,,1.1,,,,,,,,,7
Yukon,Atlin WS,59.40394,-133.57545,,,,,,8.2,,,,3.4,18.5,67.0,0.2,12.0,150.0,,0.7,,,,,,,,,7
Yukon,Nakina WS,59.27227,-132.62351,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Blue River WS,59.64472,-129.73254,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Deer River HS,59.50406,-125.95633,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Toad River HS ,58.92503,-125.07669,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Lepine Creek WS,59.4963,-124.85186,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Grayling River HS,59.61295,-125.55107,,,,,,,,,,,,,,,,,,,,,,,,,,7
