location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Weixi–Qiaohou Fault,JXQ,25.5621,100.1299,,,,63.0,471.0,8.21,,,,103.64,1.3,12.64,5.2,98.35,160.66,,4.22,,,,,5.82,0.0,,
Weixi–Qiaohou Fault,JXQ,3.87,92.16,,,,1.0,5.19,10.98,,,,4.31,0.0,0.0,,,,,84.44,,,,,155.96,,,
Weixi–Qiaohou Fault,JXQ,3.85,96.6,,,,0.99,6.21,12.93,,,,3.76,1.91,0.0,,,,,82.89,,,,,186.54,,,
Weixi–Qiaohou Fault,JXQ,3.45,92.96,,,,1.07,5.81,12.63,,,,3.97,0.16,43.32,,,,,84.7,,,,,72.7,,,
Weixi–Qiaohou Fault,JXQ,3.45,92.96,,,,1.07,5.81,12.63,,,,89.83,0.99,17.21,6.82,82.45,189.42,0.232,3.39,0.127,,4.4999999999999996e-05,0.009789999999999998,5.32,0.0,,
Weixi–Qiaohou Fault,WBS,25.1706,100.323,,,,46.0,3840.0,7.32,,,,964.44,8.2,60.26,57.31,695.64,,,19.18,,,,,5.68,1765.93,,
Weixi–Qiaohou Fault,WBS,25.1706,100.323,,,,46.0,3840.0,7.32,,,,984.46,8.13,60.32,58.14,719.51,,,19.34,,,,,5.15,0.0,,
Weixi–Qiaohou Fault,WBS,25.1706,100.323,,,,46.0,3840.0,7.32,,,,1033.66,8.5,24.23,65.31,826.28,1937.34,,22.36,,,,,5.33,0.76,,
Weixi–Qiaohou Fault,WBS,25.1706,100.323,,,,46.0,3840.0,7.32,,,,960.82,8.43,58.73,57.29,720.09,1710.92,,18.46,,,,,5.33,5.58,,
Weixi–Qiaohou Fault,WBS,25.1706,100.323,,,,46.0,3840.0,7.32,,,,969.15,6.95,57.05,56.51,738.65,1174.42,,17.79,,,,,5.83,4.87,,
Weixi–Qiaohou Fault,WBS,25.1706,100.323,,,,46.0,3840.0,7.32,,,,980.09,9.11,80.87,62.68,760.2,2278.83,2.047,22.31,2.754,,2.7e-05,0.0341,4.74,0.44,,
Weixi–Qiaohou Fault,XQC,,,,,,,,,,,,99.7904,56.0,151.82,9.25,69.37,43.84,0.2,25.4829,12.534,,3.9e-05,0.0324,14.82,3.8,,
